idx_NUTS3,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
DE231,49,47,46,47,49,50,47,48,45,45,49,48,49,47,49,50,50,45,47,50,49,46,46,50,45,45,45,47,50,48,47,50,46,50,50,50
DE232,47,49,47,50,45,46,49,50,46,48,50,49,47,45,49,48,50,49,49,47,49,50,45,49,46,46,49,48,46,45,50,48,50,50,50,49
DE233,50,45,45,48,49,46,45,45,49,47,47,45,50,50,45,47,50,50,48,48,46,47,45,49,48,46,46,46,45,47,46,47,48,45,48,45
DE234,49,46,49,49,47,46,50,47,50,49,49,48,49,50,50,48,50,47,50,45,50,50,48,46,47,49,50,50,49,45,48,48,50,50,47,47
DE235,45,45,46,49,49,50,49,45,50,45,46,46,46,46,49,50,50,50,45,47,49,46,45,47,49,50,48,48,45,48,47,45,50,49,47,47
DE236,48,45,50,45,45,47,49,48,48,47,48,46,47,49,46,48,45,46,50,48,47,50,46,49,48,47,48,48,49,50,45,49,49,49,45,48
DE237,49,49,49,45,45,49,48,47,49,50,49,45,45,49,49,47,45,46,50,50,49,45,46,47,47,48,48,46,47,50,50,49,46,46,45,50
DE238,46,46,45,48,45,48,47,46,45,50,46,48,47,49,50,45,49,50,49,50,49,49,48,50,50,48,50,50,45,45,50,50,46,45,45,46
DE239,49,48,50,47,48,45,47,50,47,45,47,48,48,46,49,48,48,47,48,46,47,48,46,46,50,46,46,46,50,45,48,49,50,48,45,47
DE23A,47,48,45,49,48,49,46,47,46,47,49,45,50,47,46,45,45,45,47,49,48,46,49,45,45,45,49,47,48,45,45,47,49,47,47,45
DE241,48,46,50,47,47,47,45,46,45,46,45,49,45,49,46,47,49,45,48,47,45,47,46,47,49,50,49,50,45,49,49,50,45,45,48,45
DE242,46,46,45,50,46,46,47,50,46,50,46,49,49,45,49,49,48,46,46,45,45,47,47,46,50,48,49,48,48,46,47,48,49,46,48,46
DE243,49,47,45,49,49,49,45,47,50,45,45,49,50,46,49,49,47,46,48,45,49,49,48,47,50,46,49,48,47,48,47,50,46,45,48,49
DE244,49,49,50,46,45,47,49,48,46,49,47,45,48,47,47,47,45,48,48,47,47,45,48,48,49,47,45,50,46,46,45,46,48,47,46,48
DE245,46,46,48,49,50,46,49,49,46,45,46,45,49,45,46,50,50,49,48,49,47,49,45,45,50,46,46,48,48,49,47,45,45,50,49,48
DE246,47,48,50,45,45,49,45,45,47,49,46,49,50,47,47,46,49,49,45,50,49,48,47,46,50,47,45,46,50,49,49,48,47,49,48,47
DE247,48,49,47,50,48,46,49,49,49,45,47,45,50,50,46,45,48,49,46,45,47,45,45,45,49,45,46,48,49,50,47,50,48,47,49,50
DE248,46,46,48,46,48,48,49,50,47,46,48,47,47,50,48,48,48,47,45,49,50,50,49,50,48,50,46,50,47,49,50,50,46,45,47,50
DE249,48,48,48,49,46,46,47,48,50,47,47,50,48,47,45,49,50,46,50,50,45,45,48,47,50,50,50,45,46,48,50,49,46,45,46,49
DE24A,46,45,45,46,49,48,46,47,45,46,50,45,45,50,50,48,46,48,49,47,45,49,49,50,49,50,48,46,49,45,50,45,45,50,45,50
DE24B,45,45,49,48,48,45,46,50,46,50,50,50,45,49,45,45,47,45,47,49,47,49,47,47,46,49,47,45,45,45,45,45,45,48,49,50
DE24C,48,48,45,45,50,45,50,45,47,45,46,48,49,47,45,46,46,49,49,47,47,45,48,50,49,45,47,45,49,45,49,45,46,50,49,48
DE24D,47,47,47,50,50,45,47,48,46,47,46,48,45,49,46,45,47,46,48,50,47,49,48,47,45,45,48,45,49,45,49,50,48,48,45,49
DE251,49,50,45,49,49,50,50,45,45,47,49,46,47,48,45,48,49,45,48,46,46,48,49,46,48,50,49,46,45,45,49,47,45,49,47,47
DE252,49,50,46,45,50,47,46,50,47,45,48,49,48,49,45,45,47,49,48,46,47,50,48,49,50,47,49,49,47,48,47,47,49,46,48,46
DE253,45,48,45,46,45,48,48,45,45,50,49,49,50,47,45,48,49,47,46,48,48,49,47,48,46,45,46,50,50,48,46,45,50,49,48,49
DE254,49,50,46,45,48,50,45,49,46,50,49,49,49,47,47,49,45,48,46,49,48,45,49,50,48,48,46,46,47,49,48,46,48,50,45,46
DE255,47,45,48,49,50,46,45,47,46,48,47,45,45,46,45,48,45,47,47,48,49,47,47,49,50,48,48,50,47,50,46,48,49,46,48,48
DE256,50,49,47,46,50,50,45,48,46,47,48,48,50,46,45,46,50,49,49,47,47,47,45,50,50,49,47,46,46,48,46,46,46,46,45,47
DE257,49,48,48,45,45,48,49,50,46,45,48,45,47,47,45,48,48,48,45,48,50,49,48,49,47,46,45,45,46,49,46,47,47,46,45,45
DE258,46,48,46,49,50,46,50,50,45,48,46,46,49,47,47,50,48,47,47,48,45,45,45,46,45,48,49,45,47,47,46,50,45,45,48,48
DE259,50,46,47,45,48,50,46,50,49,48,48,45,50,47,50,47,50,48,45,47,47,46,50,47,48,50,48,50,50,45,45,50,50,50,48,49
DE25A,49,48,45,47,50,46,49,50,46,48,50,50,49,49,50,49,47,50,50,46,48,48,46,45,50,46,48,50,45,45,45,45,46,47,45,45
DE25B,48,45,48,48,49,50,45,45,49,49,45,49,49,48,48,50,50,46,49,49,46,48,46,47,46,48,50,49,46,45,50,47,50,48,47,47
DE25C,47,50,49,46,47,47,47,49,48,45,46,48,50,46,47,46,48,50,46,49,45,45,45,45,45,48,46,47,48,45,49,46,45,46,50,47
DE261,49,50,48,50,49,45,46,47,46,50,46,45,49,46,46,50,49,47,47,49,47,48,45,47,49,45,48,50,45,47,48,49,45,48,45,45
DE262,49,49,49,50,47,46,50,49,48,49,47,47,48,46,47,50,50,45,49,50,47,45,50,47,48,46,50,49,47,50,46,46,47,50,48,45
DE263,50,49,45,48,47,50,48,46,50,45,46,45,45,46,46,48,50,49,45,47,45,48,50,49,47,50,45,45,48,45,50,45,48,46,45,45
DE264,48,49,47,46,47,49,48,49,49,46,50,45,50,45,50,45,45,49,50,49,47,45,47,47,49,45,46,49,45,49,48,45,45,49,48,50
DE265,48,48,45,46,45,50,50,47,50,50,47,46,48,49,50,48,50,50,49,48,49,50,45,45,46,47,50,46,45,47,45,45,48,47,47,47
DE266,48,48,49,49,46,47,48,48,47,46,45,47,47,50,48,47,47,46,48,50,45,48,45,50,45,49,45,45,46,49,47,48,49,46,47,45
DE267,50,50,49,50,49,50,49,45,49,48,46,48,49,45,50,47,49,47,49,47,47,46,49,46,45,46,49,45,49,49,45,48,50,49,48,50
DE268,49,49,48,46,49,47,46,46,45,46,46,47,49,50,50,46,45,50,50,48,49,46,47,45,50,48,47,48,45,47,45,49,46,50,49,49
DE269,48,49,47,50,50,49,48,45,50,46,49,48,46,50,49,46,45,50,47,50,47,45,47,49,50,45,48,46,50,49,45,45,47,47,46,46
DE26A,46,45,49,48,45,46,50,46,49,48,46,50,45,46,45,45,48,48,49,49,48,45,46,50,47,47,45,50,49,47,46,48,48,45,45,48
DE26B,46,46,46,48,47,47,50,46,49,49,49,50,46,50,46,45,48,46,49,47,50,50,47,49,48,45,48,49,45,47,48,49,45,49,47,45
DE26C,45,48,49,48,49,45,47,48,45,48,46,48,50,45,50,47,50,47,50,50,46,47,47,48,47,47,50,46,47,48,45,45,49,46,49,46
DE271,45,45,50,48,45,47,45,50,49,50,45,48,49,47,46,45,50,47,50,50,46,48,50,50,46,50,47,50,49,49,50,48,50,49,45,50
DE272,49,47,47,50,47,47,45,49,47,50,48,47,47,50,45,47,46,49,50,49,46,47,46,46,47,48,45,48,46,45,48,49,45,45,45,45
DE273,50,46,50,46,47,48,48,46,47,47,46,46,47,45,50,48,45,45,46,46,50,47,49,47,46,47,48,45,49,48,50,50,48,50,46,45
DE274,49,47,49,47,50,46,46,48,45,47,47,49,47,45,47,48,47,45,48,47,45,50,45,46,49,48,49,45,46,49,48,47,50,49,50,47
DE275,50,49,47,46,47,45,47,46,50,49,48,47,48,48,45,45,46,45,48,48,48,46,46,48,46,47,45,47,45,49,48,50,49,47,50,45
DE276,46,50,50,45,47,45,46,49,45,50,49,45,46,48,46,45,46,46,48,45,47,47,48,49,49,45,50,46,50,50,50,46,46,48,45,46
DE277,47,49,46,46,46,47,47,46,50,47,50,50,46,50,48,48,47,49,45,50,49,45,48,49,50,45,49,49,45,46,47,45,50,47,49,49
DE278,49,45,50,48,47,46,46,47,48,46,47,50,46,45,47,45,45,47,49,46,49,45,47,50,49,45,49,48,46,50,47,47,48,46,47,45
DE279,46,46,45,47,45,45,47,49,46,47,47,49,47,48,48,49,46,50,46,45,48,50,45,46,50,48,50,45,50,45,48,49,50,47,47,50
DE27A,45,47,50,45,46,47,47,46,50,49,46,46,47,46,48,46,48,48,45,49,47,46,48,47,49,49,50,48,45,48,47,47,48,46,49,48
DE27B,45,46,45,49,47,50,45,47,50,45,47,45,45,45,45,49,45,49,49,50,47,46,47,48,50,48,47,45,47,45,46,50,46,49,50,48
DE27C,47,48,48,48,50,49,50,47,45,47,48,45,50,47,47,48,50,49,49,45,49,49,50,47,45,48,46,50,47,49,46,45,49,49,47,47
DE27D,47,46,47,48,47,47,48,50,48,48,50,50,49,50,48,49,50,49,45,50,47,46,46,45,46,49,48,46,45,46,45,45,46,49,48,46
DE27E,48,48,48,46,48,49,50,45,50,49,50,46,50,46,49,45,50,45,46,46,45,46,50,45,48,49,45,50,49,45,46,46,50,50,46,46
DE300,48,47,45,50,46,50,49,46,45,46,45,46,49,46,50,49,48,50,50,46,48,48,50,48,50,49,48,46,50,45,50,45,46,48,50,49
DE401,47,46,46,50,45,45,46,48,48,48,45,50,47,49,48,46,45,45,49,49,50,46,48,45,45,49,49,45,50,48,45,45,48,50,45,47
DE402,49,48,48,50,49,49,47,48,47,48,50,49,45,46,45,49,46,45,49,45,45,46,45,47,49,47,47,47,47,48,49,45,46,50,46,49
DE403,46,47,49,48,50,48,48,46,49,45,50,50,49,50,48,46,47,50,45,49,47,50,45,45,50,46,50,46,50,50,47,45,50,50,48,50
DE404,46,46,45,47,48,49,46,49,46,46,49,49,45,50,46,47,46,50,46,45,47,47,49,47,48,45,48,46,48,47,46,49,47,49,45,45
DE405,50,47,46,47,46,50,49,50,47,45,46,46,45,47,48,46,45,47,46,48,49,49,46,50,45,50,47,49,50,48,46,49,45,50,48,46
DE406,50,45,45,46,50,50,50,46,50,48,46,46,50,48,48,46,47,50,45,47,46,46,46,48,50,48,46,50,50,45,49,47,45,45,50,48
DE407,47,50,45,46,46,48,46,50,50,48,45,47,45,48,48,49,45,49,46,50,50,45,49,46,47,45,46,50,49,48,48,49,45,46,47,46
DE408,50,47,49,45,46,45,47,47,48,48,47,50,48,45,48,50,45,50,46,49,50,50,50,50,50,50,45,45,47,49,48,48,50,48,48,48
DE409,50,45,45,45,47,48,45,46,46,49,48,48,46,46,50,46,48,46,45,45,48,50,46,49,49,45,46,47,46,46,45,50,47,49,48,46
DE40A,47,46,50,45,47,49,48,50,49,48,48,48,45,49,49,48,50,50,47,46,49,47,45,48,47,48,50,48,45,50,48,49,47,49,46,47
DE40B,48,48,46,45,50,48,49,45,45,48,49,49,47,46,47,49,49,45,47,48,47,47,46,47,50,45,48,48,50,45,50,46,46,46,49,50
DE40C,46,45,46,48,45,46,45,49,45,47,46,48,45,49,45,47,47,48,49,49,48,47,47,46,46,49,45,48,50,49,49,46,45,45,50,47
DE40D,48,45,50,45,45,46,46,45,49,46,47,46,47,49,48,46,47,47,49,46,50,47,48,49,48,48,49,47,48,46,48,45,45,48,49,50
DE40E,47,47,49,49,48,46,45,47,49,48,46,48,47,45,50,45,48,49,46,46,47,48,46,45,48,50,45,46,50,47,49,47,50,49,46,50
DE40F,47,46,50,45,50,49,48,46,45,46,45,47,48,46,45,48,47,49,47,50,45,50,48,48,48,46,45,50,49,48,45,47,45,46,47,50
DE40G,50,47,45,47,47,49,46,45,47,49,48,49,50,45,50,47,47,45,50,48,45,49,46,45,46,48,45,46,50,49,49,47,50,48,45,49
DE40H,45,45,47,49,48,45,49,45,46,47,48,45,49,46,45,46,48,50,48,48,50,49,45,46,45,45,46,48,48,46,48,47,45,49,46,46
DE40I,46,45,50,50,49,50,46,47,48,45,46,50,47,48,48,45,46,50,47,47,49,49,48,45,50,45,45,50,46,47,46,48,49,45,49,49
DE501,48,45,49,49,49,50,45,45,46,45,50,47,50,48,46,47,45,47,47,49,49,50,49,46,48,46,45,46,46,48,49,50,46,49,46,47
DE502,48,50,48,50,50,48,49,48,48,50,48,47,45,48,50,46,47,46,47,48,46,47,49,45,45,47,50,45,47,46,46,49,50,49,45,47
DE600,46,47,48,45,49,47,50,48,49,50,45,46,47,47,49,48,50,50,48,47,50,48,50,49,45,49,50,49,46,50,46,45,46,50,48,45
DE711,47,50,48,47,49,46,47,46,49,45,47,47,45,50,48,48,45,45,46,49,50,48,50,46,50,49,49,46,45,50,46,47,50,48,49,50
DE712,49,45,49,45,49,45,45,46,50,50,49,48,45,45,50,48,46,45,50,48,50,48,48,49,47,46,45,49,48,45,47,47,48,47,45,48
DE713,49,47,50,50,48,45,47,50,50,47,49,45,49,50,46,45,47,45,49,49,49,45,45,50,47,50,48,46,48,50,47,50,50,50,45,47
DE714,47,48,46,48,45,50,45,49,50,46,47,45,48,47,47,49,46,49,49,50,49,47,49,48,47,45,48,48,45,46,50,48,47,47,47,45
DE715,48,47,48,48,50,48,45,50,48,46,50,48,47,50,46,45,49,47,46,46,45,46,50,45,50,49,46,47,46,50,49,50,49,49,45,46
DE716,49,49,47,45,47,46,45,47,49,45,47,47,46,48,46,47,45,45,46,50,50,47,48,48,50,45,46,45,49,48,48,48,46,50,47,50
DE717,45,49,48,47,48,46,50,50,50,45,50,49,46,49,48,49,47,48,46,45,49,46,47,50,45,48,46,46,50,47,45,48,48,50,48,49
DE718,45,45,50,48,48,47,45,50,49,45,49,46,50,45,49,45,45,50,48,48,49,48,50,47,46,48,47,46,49,49,49,46,45,49,45,50
DE719,45,49,45,47,50,45,47,46,50,46,47,45,48,45,47,49,45,49,47,46,45,46,48,46,48,47,48,46,50,45,50,47,45,46,48,47
DE71A,47,49,47,48,50,49,45,47,49,45,48,50,46,48,47,47,46,48,46,45,47,47,50,47,45,48,50,50,47,45,50,49,46,48,47,47
DE71B,47,49,49,49,48,49,46,46,50,47,50,45,50,48,47,45,46,45,48,49,46,50,48,48,47,48,49,45,47,46,46,48,48,50,47,50
DE71C,45,50,50,45,47,45,45,46,47,50,47,50,49,46,50,48,48,45,48,46,47,50,50,49,46,48,46,45,49,46,45,47,50,48,46,47
DE71D,45,50,50,46,49,45,46,48,49,46,45,48,48,45,45,49,48,49,46,45,48,49,47,50,47,45,47,50,49,50,45,46,46,49,49,47
DE71E,48,48,45,50,50,48,49,48,46,46,50,47,49,47,46,45,46,46,49,46,47,50,48,48,50,45,49,50,45,48,50,47,45,48,49,45
DE721,49,48,47,49,47,50,48,49,46,47,45,50,46,46,49,50,46,47,50,47,50,48,46,47,45,45,49,45,48,47,47,46,50,49,50,49
DE722,50,46,50,50,47,47,49,45,48,48,45,49,45,48,45,45,45,49,49,45,46,46,49,48,49,49,45,50,49,46,48,50,46,49,49,47
DE723,50,50,49,47,50,49,49,49,47,48,48,47,46,50,47,48,45,50,50,48,48,46,46,48,48,49,49,48,47,48,46,50,45,50,48,47
DE724,45,46,48,45,47,50,46,49,48,48,46,48,47,45,47,46,48,46,47,48,49,46,49,45,45,45,47,47,46,46,47,45,46,49,46,47
DE725,48,48,49,47,48,46,46,50,48,45,47,48,50,50,48,46,45,45,50,47,45,49,49,49,47,49,47,45,49,45,48,47,47,49,45,46
DE731,47,46,49,50,50,48,45,49,47,50,49,50,45,45,49,46,46,45,46,49,47,45,49,45,45,45,46,50,49,48,49,47,45,48,49,46
DE732,47,46,46,48,47,47,48,48,46,49,47,48,49,46,49,46,49,47,50,45,45,48,45,47,46,46,47,50,45,45,46,47,48,49,49,47
DE733,48,46,46,50,50,47,49,50,50,50,50,46,47,50,48,49,45,47,45,50,47,50,49,50,47,47,45,46,46,48,46,45,49,45,46,48
DE734,49,49,50,47,47,50,48,45,45,50,47,48,45,48,47,48,49,48,47,50,46,50,49,47,47,49,50,46,45,49,46,49,45,47,48,47
DE735,50,46,48,48,45,48,46,50,47,47,49,48,45,45,50,49,45,48,48,45,46,45,47,46,46,47,46,50,46,50,47,49,47,50,48,45
DE736,48,46,46,49,47,49,47,49,50,47,48,45,49,48,50,50,48,50,50,49,50,49,47,47,45,48,45,49,45,45,45,45,50,47,47,46
DE737,46,47,49,45,47,45,45,49,45,50,47,48,48,49,48,50,49,45,49,49,50,50,50,49,45,47,47,46,45,49,47,49,50,45,48,45
DE803,48,49,50,47,45,50,50,50,45,49,50,47,48,45,48,45,49,46,45,47,47,48,48,48,46,49,49,47,46,48,49,48,46,45,47,46
DE804,47,46,49,45,50,50,49,45,46,49,48,50,46,50,45,49,46,46,50,50,48,48,46,49,48,46,45,47,46,50,45,46,47,49,50,47
DE80J,50,47,46,46,48,46,47,46,45,50,45,50,45,45,48,45,46,48,50,48,48,47,46,49,46,46,46,48,48,47,45,45,48,49,45,46
DE80K,48,48,47,49,48,45,49,49,49,47,47,46,45,46,48,45,46,45,50,47,47,50,46,46,49,48,47,49,46,45,48,49,50,46,48,45
DE80L,49,46,47,45,50,48,49,45,48,47,48,46,49,46,47,47,48,49,48,50,45,49,50,47,45,48,47,48,50,50,49,45,45,49,49,48
DE80M,45,50,48,50,50,47,47,49,48,47,45,49,50,46,47,46,49,47,50,49,49,46,48,50,46,50,45,50,45,48,48,48,49,46,49,46
DE80N,48,49,49,49,48,47,50,45,49,48,46,48,50,47,46,48,45,47,49,47,48,45,46,50,47,46,49,47,45,47,50,46,45,49,48,49
DE80O,45,47,47,49,46,45,45,48,47,46,45,50,49,50,46,48,46,50,49,49,46,48,46,49,50,49,49,48,45,48,49,45,45,50,47,50
DE911,46,48,48,47,49,48,48,46,49,49,46,48,45,48,45,48,47,50,47,47,49,45,45,46,50,47,45,47,48,50,47,45,49,45,49,46
DE912,50,50,45,48,46,49,48,50,50,50,47,46,49,49,48,48,50,45,47,50,49,48,46,45,47,49,48,45,48,49,48,49,49,48,47,49
DE913,47,46,47,50,50,50,46,45,45,47,45,48,46,49,49,46,50,50,49,50,46,45,47,45,46,50,50,48,46,46,45,46,49,46,45,48
DE914,50,49,49,49,48,46,50,45,45,49,50,48,47,45,45,47,45,49,46,50,45,45,49,45,48,45,49,45,48,47,48,45,46,49,49,45
DE915,47,47,45,50,46,45,49,49,47,48,49,50,45,47,48,47,47,50,46,45,46,49,49,49,47,45,49,50,50,47,45,49,45,48,46,48
DE916,46,45,48,49,45,49,49,46,50,45,47,50,47,50,45,50,47,49,50,49,48,45,50,48,47,46,46,47,46,46,47,49,46,50,46,48
DE917,47,49,49,45,45,48,49,45,45,48,45,48,45,48,46,48,45,46,48,47,46,48,47,46,46,48,49,46,49,48,49,50,48,50,48,48
DE918,50,46,46,46,50,47,47,50,47,50,47,50,46,46,48,48,49,47,50,47,47,50,48,50,50,49,48,48,50,45,50,46,47,45,45,50
DE919,47,50,50,45,48,50,50,49,49,47,50,46,48,46,48,45,46,45,47,45,45,49,50,49,47,49,50,48,48,50,50,45,46,50,46,50
DE91A,50,48,50,48,50,50,48,50,47,45,47,48,47,46,45,50,49,45,46,50,46,48,49,46,49,49,48,45,47,47,50,48,47,49,50,46
DE91B,50,49,49,47,49,47,48,45,49,48,45,45,46,46,49,47,46,45,49,45,50,49,49,45,45,46,45,48,50,47,46,48,49,46,47,46
DE922,49,46,46,46,46,46,46,50,48,50,47,49,46,46,50,47,46,47,48,47,50,48,50,50,45,45,48,49,48,46,46,47,49,48,50,50
DE923,50,50,48,45,47,49,50,48,47,48,45,47,50,46,49,48,50,49,47,45,46,47,46,48,47,47,46,50,45,49,45,45,50,49,47,48
DE925,49,46,45,50,49,46,49,48,48,49,48,49,48,47,45,45,46,45,47,48,50,50,50,49,48,49,50,46,50,49,47,45,46,49,46,48
DE926,50,46,48,48,47,48,50,48,50,45,50,50,48,46,46,49,45,46,46,49,50,48,50,46,50,48,47,47,47,48,46,49,49,49,45,46
DE927,50,50,49,49,48,45,48,47,49,46,46,48,46,45,46,50,47,45,48,46,49,45,45,45,46,49,48,48,45,47,48,48,49,45,46,50
DE928,49,48,50,49,48,46,48,46,50,45,49,49,45,48,45,47,45,48,46,50,48,46,46,49,50,46,47,46,50,50,49,47,46,48,50,48
DE929,46,48,49,45,50,47,49,46,45,47,49,48,49,47,45,47,48,46,45,47,47,45,49,50,45,49,46,50,47,46,46,50,49,49,46,47
DE931,47,47,46,49,46,48,47,49,46,50,49,49,49,48,47,49,47,47,50,45,45,46,50,50,50,46,48,50,47,47,47,49,46,47,48,45
DE932,49,50,50,46,49,47,50,49,50,47,47,48,50,47,47,47,49,45,49,48,48,46,46,46,48,46,45,49,47,47,46,50,50,45,47,49
DE933,45,48,45,50,48,46,49,48,45,46,48,48,49,46,47,49,50,48,48,49,46,48,47,46,49,48,47,45,48,46,50,48,49,47,50,48
DE934,50,46,50,50,46,45,46,49,47,47,48,46,47,50,46,47,45,48,49,48,48,47,49,46,48,47,49,50,45,50,45,49,45,49,48,48
DE935,49,48,50,45,48,47,45,45,48,48,48,47,48,46,47,48,49,50,47,48,45,47,48,49,48,45,45,47,50,47,50,47,46,46,48,49
DE936,45,50,48,47,45,50,50,45,50,48,48,50,46,48,49,49,47,45,47,47,48,47,45,46,46,45,46,45,45,46,46,50,48,50,46,50
DE937,49,47,50,47,47,46,49,45,48,48,46,46,48,46,49,45,47,46,48,46,49,46,47,48,49,48,50,49,50,49,50,45,50,48,49,49
DE938,48,49,48,49,49,46,45,50,47,46,45,49,45,50,49,47,50,47,45,50,50,49,45,49,46,49,48,45,50,50,49,48,46,47,50,48
DE939,45,46,46,45,49,49,48,47,47,48,47,47,48,50,46,45,47,45,48,46,47,47,48,45,46,48,45,48,49,49,47,48,50,48,50,49
DE93A,50,48,50,49,45,47,50,47,49,49,48,48,46,46,49,45,50,46,50,48,45,50,50,45,47,45,49,48,48,50,50,46,45,47,45,47
DE93B,50,48,48,46,50,47,47,47,49,45,46,50,48,46,47,50,48,50,47,48,49,45,49,47,49,46,50,49,47,50,48,45,46,46,46,46
DE941,45,47,46,48,47,50,49,49,45,50,48,50,49,50,48,50,50,45,46,47,49,49,48,50,49,48,49,47,45,45,48,48,45,50,45,50
DE942,47,46,50,50,47,50,50,50,46,48,45,50,50,50,50,49,47,46,47,47,47,49,47,49,50,50,45,49,45,48,46,49,46,46,47,50
DE943,50,48,48,49,47,45,47,45,48,46,49,45,49,47,47,46,46,50,47,45,48,49,49,50,49,48,47,49,48,50,45,50,49,46,49,47
DE944,50,46,45,50,49,48,50,49,49,47,48,48,46,49,45,46,48,48,45,50,45,50,48,49,46,48,48,50,48,48,50,46,47,48,45,48
DE945,46,48,48,49,46,49,46,45,46,50,48,48,45,46,47,47,49,48,49,48,46,45,49,50,48,47,50,48,46,45,47,50,46,45,46,50
DE946,47,50,46,49,46,45,50,50,48,46,45,46,46,46,48,45,50,45,47,49,50,50,50,50,47,49,47,50,47,45,49,46,48,46,45,45
DE947,47,48,45,48,50,50,48,47,48,45,47,47,47,49,49,50,49,45,45,49,47,48,48,46,45,47,47,50,45,47,47,47,50,48,46,50
DE948,49,47,45,45,49,47,45,48,46,49,49,46,48,50,49,46,46,45,50,46,45,50,48,46,50,47,49,50,48,48,45,46,48,48,50,48
DE949,46,45,50,50,47,49,48,49,49,46,49,45,47,47,46,48,45,45,48,45,49,45,47,47,50,46,50,49,45,48,50,49,50,45,47,45
DE94A,46,50,50,50,46,46,48,49,46,48,46,50,47,46,49,49,47,45,46,46,45,49,48,46,48,45,48,50,48,48,48,47,45,49,47,45
DE94B,45,46,47,49,48,49,46,46,49,45,46,50,49,45,46,49,45,49,47,48,48,45,45,50,47,46,48,50,45,49,45,46,47,47,48,49
DE94C,45,50,47,45,49,49,45,49,50,47,49,50,46,46,48,48,48,47,49,50,47,46,50,49,48,45,45,48,45,49,45,45,48,45,50,50
DE94D,45,47,46,46,47,48,50,49,50,50,50,49,48,45,45,49,47,47,50,46,45,49,46,45,50,46,48,48,45,50,47,50,50,46,50,47
DE94E,45,46,48,45,45,45,47,46,46,46,50,47,50,46,49,49,48,45,45,45,50,50,46,45,47,50,48,49,45,50,50,50,45,48,46,47
DE94F,46,50,48,50,47,46,45,45,47,48,49,47,47,47,50,49,46,50,49,46,47,46,48,45,46,45,50,49,47,50,48,49,48,49,50,47
DE94G,49,49,47,47,45,46,48,47,47,50,45,48,49,50,45,47,46,46,48,49,50,49,45,48,46,46,48,50,47,45,45,49,45,47,49,48
DE94H,49,47,49,47,46,49,45,45,46,47,48,49,46,46,46,48,49,50,47,48,50,45,46,46,45,49,47,47,48,46,48,48,49,50,46,49
DEA11,46,47,46,47,48,49,50,50,50,47,45,48,50,45,49,49,49,50,50,49,49,45,48,48,45,46,46,47,50,46,50,50,45,48,46,45
DEA12,45,46,48,45,46,49,49,45,49,50,47,45,45,49,50,45,49,45,46,48,50,49,45,48,48,45,50,45,49,45,50,45,49,49,45,46
DEA13,47,50,45,46,45,49,49,48,47,48,48,45,47,50,49,49,48,45,50,46,46,47,46,45,45,48,50,47,48,50,48,48,47,48,48,47
DEA14,50,48,47,45,47,48,47,50,45,46,50,46,47,49,50,46,50,50,46,46,49,46,49,47,47,46,50,47,46,46,45,49,46,45,49,48
DEA15,48,50,49,49,48,49,50,48,47,45,50,46,45,50,50,50,46,45,45,50,47,48,50,49,49,48,47,48,49,48,49,47,50,50,50,50
DEA16,45,45,47,45,48,47,45,48,45,46,50,50,50,45,49,49,47,45,47,49,45,50,49,50,45,48,45,45,47,49,49,45,45,47,45,49
DEA17,46,48,46,46,50,48,48,47,45,47,45,47,49,49,47,47,45,45,49,49,45,48,48,50,46,48,49,48,47,50,48,50,50,49,48,47
DEA18,50,46,46,48,49,49,46,46,50,46,49,45,45,46,49,45,49,45,49,50,46,47,48,50,45,49,50,49,45,47,46,45,45,47,46,45
DEA19,45,49,47,49,45,47,49,46,50,49,49,46,46,45,50,45,46,48,47,45,47,47,49,50,47,46,49,45,49,49,45,47,45,49,46,46
DEA1A,50,45,49,47,50,45,50,50,46,45,49,48,49,46,48,46,47,46,49,47,50,47,50,50,48,49,48,45,49,49,47,48,50,45,48,50
DEA1B,50,49,47,45,49,45,46,47,47,48,50,50,48,49,49,49,47,49,48,45,50,45,49,50,50,50,49,46,47,48,47,50,46,49,50,50
DEA1C,48,50,49,48,49,50,47,46,47,49,49,50,45,47,45,47,47,47,49,46,48,45,45,48,49,49,46,47,46,46,50,48,45,45,48,48
DEA1D,46,45,48,50,45,48,45,49,45,47,47,48,49,46,50,45,49,49,45,47,48,50,49,45,47,48,45,45,49,50,50,49,48,46,47,46
DEA1E,46,48,45,47,50,45,50,45,47,50,48,50,45,50,50,46,46,45,46,50,45,48,49,45,46,46,48,49,45,48,46,50,47,46,50,48
DEA1F,50,46,46,48,45,48,48,46,49,50,48,50,49,49,50,45,45,49,48,45,50,48,46,45,45,49,48,48,49,50,46,48,50,47,50,50
DEA22,45,50,50,47,46,49,48,45,50,48,47,50,48,47,49,47,49,50,48,45,46,45,50,49,46,45,50,46,46,45,45,49,48,49,46,45
DEA23,48,45,45,50,49,48,49,47,47,46,48,46,48,45,49,45,47,48,47,50,45,49,48,45,50,46,45,45,47,49,49,47,47,47,45,47
DEA24,45,50,48,48,46,47,50,49,49,45,50,48,49,45,46,45,47,47,49,48,46,46,50,45,47,45,50,47,45,48,46,49,45,50,50,46
